ORF	Counts	Sample
KLMA_10001	555	SK10
KLMA_10002	19	SK10
KLMA_10003	6	SK10
KLMA_10004	371	SK10
KLMA_10005	174	SK10
KLMA_10006	26	SK10
KLMA_10007	86	SK10
KLMA_10008	40	SK10
KLMA_10009	66	SK10
KLMA_10010	152	SK10
KLMA_10011	139	SK10
KLMA_10012	45	SK10
KLMA_10013	13	SK10
KLMA_10014	7	SK10
KLMA_10015	29	SK10
KLMA_10016	30	SK10
KLMA_10017	29	SK10
KLMA_10018	83	SK10
KLMA_10019	1	SK10
KLMA_10020	714	SK10
KLMA_10021	452	SK10
KLMA_10022	917	SK10
KLMA_10023	312	SK10
KLMA_10024	1082	SK10
KLMA_10025	1395	SK10
KLMA_10026	214	SK10
KLMA_10027	3075	SK10
KLMA_10028	12	SK10
KLMA_10029	35	SK10
KLMA_10030	347	SK10
KLMA_10031	429	SK10
KLMA_10032	706	SK10
KLMA_10033	718	SK10
KLMA_10034	3471	SK10
KLMA_10035	34837	SK10
KLMA_10036	1123	SK10
KLMA_10037	58	SK10
KLMA_10038	601	SK10
KLMA_10039	567	SK10
KLMA_10040	50360	SK10
KLMA_10041	230	SK10
KLMA_10043	85	SK10
KLMA_10044	93	SK10
KLMA_10045	580	SK10
KLMA_10046	1218	SK10
KLMA_10047	1065	SK10
KLMA_10048	638	SK10
KLMA_10049	20339	SK10
KLMA_10050	1218	SK10
KLMA_10051	194	SK10
KLMA_10052	2042	SK10
KLMA_10053	461	SK10
KLMA_10054	2203	SK10
KLMA_10055	777	SK10
KLMA_10056	515	SK10
KLMA_10057	15339	SK10
KLMA_10058	7841	SK10
KLMA_10059	3083	SK10
KLMA_10060	147	SK10
KLMA_10061	140	SK10
KLMA_10062	1093	SK10
KLMA_10063	1320	SK10
KLMA_10064	3506	SK10
KLMA_10065	12409	SK10
KLMA_10066	515	SK10
KLMA_10067	8348	SK10
KLMA_10068	482	SK10
KLMA_10069	517	SK10
KLMA_10070	219	SK10
KLMA_10071	4176	SK10
KLMA_10072	6440	SK10
KLMA_10073	1008	SK10
KLMA_10074	421	SK10
KLMA_10075	345	SK10
KLMA_10076	712	SK10
KLMA_10077	1583	SK10
KLMA_10078	757	SK10
KLMA_10079	48401	SK10
KLMA_10080	602	SK10
KLMA_10081	767	SK10
KLMA_10082	641	SK10
KLMA_10083	34128	SK10
KLMA_10084	377	SK10
KLMA_10085	1153	SK10
KLMA_10086	30	SK10
KLMA_10088	523	SK10
KLMA_10089	1434	SK10
KLMA_10090	605	SK10
KLMA_10091	478	SK10
KLMA_10092	701	SK10
KLMA_10093	208	SK10
KLMA_10094	1935	SK10
KLMA_10095	385	SK10
KLMA_10096	848	SK10
KLMA_10097	2477	SK10
KLMA_10098	964	SK10
KLMA_10099	802	SK10
KLMA_10100	1376	SK10
KLMA_10101	636	SK10
KLMA_10102	363	SK10
KLMA_10103	937	SK10
KLMA_10104	888	SK10
KLMA_10106	807	SK10
KLMA_10107	3530	SK10
KLMA_10108	1696	SK10
KLMA_10109	668	SK10
KLMA_10110	1219	SK10
KLMA_10111	563	SK10
KLMA_10112	878	SK10
KLMA_10113	1931	SK10
KLMA_10114	1091	SK10
KLMA_10115	347	SK10
KLMA_10116	1181	SK10
KLMA_10117	389	SK10
KLMA_10118	1137	SK10
KLMA_10119	379	SK10
KLMA_10120	309	SK10
KLMA_10121	1313	SK10
KLMA_10122	1331	SK10
KLMA_10123	1686	SK10
KLMA_10124	426	SK10
KLMA_10125	1346	SK10
KLMA_10126	564	SK10
KLMA_10127	7104	SK10
KLMA_10128	147	SK10
KLMA_10129	723	SK10
KLMA_10130	1238	SK10
KLMA_10131	898	SK10
