sample	ORF	TPM
SK1	SKDZ_01G0010	0
SK1	SKDZ_01G0020	0.02606918511331893
SK1	SKDZ_01G0030	3.7454433147776256
SK1	SKDZ_01G0040	0.47425061558149795
SK1	SKDZ_01G0050	9.14675495844956
SK1	SKDZ_01G0060	16.14399772937416
SK1	SKDZ_01G0070	37.715100085952464
SK1	SKDZ_01G0080	135.97066260223502
SK1	SKDZ_01G0100	27.751218790251997
SK1	SKDZ_01G0110	12.36990231239104
SK1	SKDZ_01G0120	31.878724620119105
SK1	SKDZ_01G0130	0.456648877048011
SK1	SKDZ_01G0140	56.357588033600635
SK1	SKDZ_01G0150	12.509252148103073
SK1	SKDZ_01G0160	57.64129023725865
SK1	SKDZ_01G0170	13.551723280085604
SK1	SKDZ_01G0190	18.907361996135727
SK1	SKDZ_01G0200	79.7412539473315
SK1	SKDZ_01G0210	90.52418844714403
SK1	SKDZ_01G0220	300.6822859997704
SK1	SKDZ_01G0230	49.163179044490946
SK1	SKDZ_01G0250	133.8104952016306
SK1	SKDZ_01G0260	61.345504607446316
SK1	SKDZ_01G0270	97.84990110642352
SK1	SKDZ_01G0280	64.14715014953376
SK1	SKDZ_01G0290	3106.787226665937
SK1	SKDZ_01G0320	21.594271242939104
SK1	SKDZ_01G0330	142.835953983414
SK1	SKDZ_01G0340	312.3562767486985
SK1	SKDZ_01G0350	17.948498643330915
SK1	SKDZ_01G0360	21.495505543632937
SK1	SKDZ_01G0370	25.418346739677865
SK1	SKDZ_01G0380	70.54018361604645
SK1	SKDZ_01G0390	31.715250593622706
SK1	SKDZ_01G0400	12.789972153416818
SK1	SKDZ_01G0410	50.8245274819861
SK1	SKDZ_01G0420	45.696022855508915
SK1	SKDZ_01G0430	2.6842219330841046
SK1	SKDZ_01G0440	17.79948239141754
SK1	SKDZ_01G0450	25.02503248271373
SK1	SKDZ_01G0460	238.93345283926232
SK1	SKDZ_01G0470	11.201692179073266
SK1	SKDZ_01G0480	207.49764460790269
SK1	SKDZ_01G0490	24.796291471981586
SK1	SKDZ_01G0500	50.176727015906785
SK1	SKDZ_01G0510	56.870082498426164
SK1	SKDZ_01G0530	46.49207515702793
SK1	SKDZ_01G0540	0
SK1	SKDZ_01G0550	15.282670752050546
SK1	SKDZ_01G0570	108.27467757852719
SK1	SKDZ_01G0580	19.340532916682964
SK1	SKDZ_01G0590	155.86148075670386
SK1	SKDZ_01G0600	71.08200030001885
SK1	SKDZ_01G0610	570.4514524763525
SK1	SKDZ_01G0620	23.687596467004372
SK1	SKDZ_01G0630	20.840466491056045
SK1	SKDZ_01G0640	26.52459372402929
SK1	SKDZ_01G0650	23.086457359165333
SK1	SKDZ_01G0660	224.2718719324927
SK1	SKDZ_01G0670	107.63755709397334
SK1	SKDZ_01G0680	3665.896163357626
SK1	SKDZ_01G0690	15.068111577873484
SK1	SKDZ_01G0700	12.458407623197791
SK1	SKDZ_01G0710	67.87362355990635
SK1	SKDZ_01G0720	268.69710540000966
SK1	SKDZ_01G0730	25.84057841309444
SK1	SKDZ_01G0740	51.05310418270814
SK1	SKDZ_01G0750	43.1006749064103
SK1	SKDZ_01G0760	21.88346504404984
SK1	SKDZ_01G0770	12.940556326871215
SK1	SKDZ_01G0780	25.9015889530606
SK1	SKDZ_01G0790	467.0094111497772
SK1	SKDZ_01G0800	29.088695811388433
SK1	SKDZ_01G0810	33.357974404556685
SK1	SKDZ_01G0820	23.313855188491036
SK1	SKDZ_01G0830	20.302649574563624
SK1	SKDZ_01G0840	2.764193867718559
SK1	SKDZ_01G0850	22.93501509344945
SK1	SKDZ_01G0860	150.70860324128094
SK1	SKDZ_01G0870	0
SK1	SKDZ_01G0890	0.16330944062723762
SK1	SKDZ_02G0010	1.306475525017901
SK1	SKDZ_02G0020	3.1088626919404954
SK1	SKDZ_02G0030	74.628269456987
SK1	SKDZ_02G0040	10.97476593508948
SK1	SKDZ_02G0050	28.56001428469307
SK1	SKDZ_02G0060	23.963577784435653
SK1	SKDZ_02G0070	31.455397972242213
SK1	SKDZ_02G0080	69.80193281031693
SK1	SKDZ_02G0090	15.719742003766392
