annotation.type	regulated.orf	regulated.gene	experimental.condition	regulation.direction	evidence.type	regulator.orf
high-throughput	LSR1	LSR1	""	""	chromatin immunoprecipitation-chip evidence	YDL020C
high-throughput	LSR1	LSR1	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	Q0050	AI1	cellular response to iron ion	positive	microarray RNA expression level evidence	YIR018W
high-throughput	Q0075	AI5_BETA	cellular response to boron-containing substance levels	negative	microarray RNA expression level evidence	YEL009C
high-throughput	Q0080	ATP8	cellular response to iron ion	positive	microarray RNA expression level evidence	YIR018W
high-throughput	Q0115	BI3	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	Q0120	BI4	cellular response to iron ion	positive	microarray RNA expression level evidence	YIR018W
high-throughput	Q0130	OLI1	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YBR049C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YDR146C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YDR421W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YDR463W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YEL009C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YER161C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YGL025C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YGL035C
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YGL073W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YKL112W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YKR099W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YNL236W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YOR380W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YPL075W
high-throughput	RDN25-1	RDN25-1	""	""	microarray RNA expression level evidence	YPL139C
high-throughput	snR11	SNR11	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR128	SNR128	""	""	chromatin immunoprecipitation-chip evidence	YER161C
high-throughput	snR128	SNR128	""	""	chromatin immunoprecipitation-chip evidence	YMR021C
high-throughput	snR128	SNR128	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR128	SNR128	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR13	SNR13	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR14	SNR14	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR14	SNR14	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR17a	SNR17A	""	""	chromatin immunoprecipitation-chip evidence	YDR123C
high-throughput	snR17a	SNR17A	""	""	chromatin immunoprecipitation-chip evidence	YLR403W
high-throughput	snR17a	SNR17A	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	snR17a	SNR17A	""	""	chromatin immunoprecipitation-chip evidence	YPR104C
high-throughput	snR18	SNR18	""	""	chromatin immunoprecipitation-chip evidence	YGL073W
high-throughput	snR18	SNR18	""	""	chromatin immunoprecipitation-chip evidence	YKL062W
high-throughput	snR18	SNR18	""	""	chromatin immunoprecipitation-chip evidence	YMR037C
high-throughput	snR189	SNR189	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR190	SNR190	""	""	chromatin immunoprecipitation-chip evidence	YER161C
high-throughput	snR190	SNR190	""	""	chromatin immunoprecipitation-chip evidence	YMR021C
high-throughput	snR190	SNR190	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR190	SNR190	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR190	SNR190	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR3	SNR3	""	""	chromatin immunoprecipitation-chip evidence	YKL043W
high-throughput	snR3	SNR3	""	""	chromatin immunoprecipitation-chip evidence	YMR016C
high-throughput	snR34	SNR34	""	""	chromatin immunoprecipitation-chip evidence	YPR104C
high-throughput	snR37	SNR37	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR37	SNR37	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR40	SNR40	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR40	SNR40	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR41	SNR41	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YEL009C
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YGL073W
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YLR403W
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	snR44	SNR44	""	""	microarray RNA expression level evidence	YPL075W
high-throughput	snR45	SNR45	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YDR253C
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YHR206W
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YJR060W
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YNL103W
high-throughput	snR47	SNR47	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	snR49	SNR49	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR51	SNR51	""	""	chromatin immunoprecipitation-chip evidence	YBR049C
high-throughput	snR51	SNR51	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR52	SNR52	""	""	chromatin immunoprecipitation-chip evidence	YDR216W
high-throughput	snR52	SNR52	""	""	chromatin immunoprecipitation-chip evidence	YNL314W
high-throughput	snR52	SNR52	""	""	chromatin immunoprecipitation-chip evidence	YPL038W
high-throughput	snR53	SNR53	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR54	SNR54	""	""	microarray RNA expression level evidence	YCR084C
high-throughput	snR54	SNR54	""	""	microarray RNA expression level evidence	YIL036W
high-throughput	snR54	SNR54	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR54	SNR54	""	""	microarray RNA expression level evidence	YOL148C
high-throughput	snR55	SNR55	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR55	SNR55	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR55	SNR55	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR56	SNR56	""	""	chromatin immunoprecipitation-chip evidence	YPL038W
high-throughput	snR56	SNR56	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR57	SNR57	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR57	SNR57	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR57	SNR57	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR58	SNR58	""	""	microarray RNA expression level evidence	YLR403W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YBR049C
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YGL073W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YIL036W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YLR403W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YNL216W
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YOL148C
high-throughput	snR59	SNR59	""	""	microarray RNA expression level evidence	YPL075W
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YBR083W
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YDR259C
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YER040W
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YER161C
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR61	SNR61	""	""	chromatin immunoprecipitation-chip evidence	YNL199C
high-throughput	snR63	SNR63	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR64	SNR64	""	""	chromatin immunoprecipitation-chip evidence	YEL009C
high-throughput	snR64	SNR64	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR66	SNR66	""	""	chromatin immunoprecipitation-chip evidence	YNL216W
high-throughput	snR66	SNR66	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR67	SNR67	""	""	chromatin immunoprecipitation-chip evidence	YPL089C
high-throughput	snR68	SNR68	""	""	chromatin immunoprecipitation-chip evidence	YKL112W
high-throughput	snR68	SNR68	""	""	microarray RNA expression level evidence	YJL127C
high-throughput	snR69	SNR69	""	""	chromatin immunoprecipitation-chip evidence	YER161C
