# Ribosome biogenesis genes according to SGD
#
# Generated Thu Feb 14 10:38:30 2019
ORF	gene	description
YDR161W	ACL4	Specific assembly chaperone for ribosomal protein Rpl4p
YJL122W	ALB1	Shuttling pre-60S factor
YER036C	ARB1	ATPase of the ATP-binding cassette (ABC) family
YDR101C	ARX1	Nuclear export factor for the ribosomal pre-60S subunit
YHR040W	BCD1	Essential protein required for the accumulation of box C/D snoRNA
YDR299W	BFR2	Component of the SSU and 90S preribosomes
YPL217C	BMS1	GTPase required for ribosomal subunit synthesis and rRNA processing
YOL077C	BRX1	Nucleolar protein
YOR078W	BUD21	Component of small ribosomal subunit (SSU) processosome
YPL048W	CAM1	One of two isoforms of the gamma subunit of eEF1B
YLR175W	CBF5	Pseudouridine synthase catalytic subunit of box H/ACA snoRNPs
YKL208W	CBT1	Protein involved in 5' RNA end processing
YGL029W	CGR1	Protein involved in nucleolar integrity and processing of pre-rRNA
YHR052W	CIC1	Essential protein that interacts with proteasome components
YHR109W	CTM1	Cytochrome c lysine methyltransferase
YDL031W	DBP10	Putative ATP-dependent RNA helicase of the DEAD-box protein family
YNL112W	DBP2	ATP-dependent RNA helicase of the DEAD-box protein family
YGL078C	DBP3	RNA-Dependent ATPase, member of DExD/H-box family
YNR038W	DBP6	Essential protein involved in ribosome biogenesis
YKR024C	DBP7	Putative ATP-dependent RNA helicase of the DEAD-box family
YHR169W	DBP8	ATPase, putative RNA helicase of the DEAD-box family
YLR276C	DBP9	DEAD-box protein required for 27S rRNA processing
YKL078W	DHR2	Predominantly nucleolar DEAH-box ATP-dependent RNA helicase
YPL266W	DIM1	Essential 18S rRNA dimethylase (dimethyladenosine transferase)
YLR129W	DIP2	Nucleolar protein
YLL008W	DRS1	Nucleolar DEAD-box protein required for ribosome assembly and function
YKL172W	EBP2	Required for 25S rRNA maturation and 60S ribosomal subunit assembly
YAL059W	ECM1	Pre-ribosomal factor involved in 60S ribosomal protein subunit export
YMR128W	ECM16	Essential DEAH-box ATP-dependent RNA helicase specific to U3 snoRNP
YHL039W	EFM1	Lysine methyltransferase
YLR186W	EMG1	Methyltransferase for rRNA
YBR247C	ENP1	Protein associated with U3 and U14 snoRNAs
YGR145W	ENP2	Component of the SSU
YMR049C	ERB1	Constituent of 66S pre-ribosomal particles
YDR365C	ESF1	Nucleolar protein involved in pre-rRNA processing
YNR054C	ESF2	Essential nucleolar protein involved in pre-18S rRNA processing
YIL019W	FAF1	Protein required for pre-rRNA processing
YDR021W	FAL1	Nucleolar protein required for maturation of 18S rRNA
YDL166C	FAP7	Essential NTPase required for small ribosome subunit synthesis
YDR339C	FCF1	Putative PINc domain nuclease
YLR051C	FCF2	Nucleolar protein involved in the early steps of 35S rRNA processing
YHR089C	GAR1	Protein component of the H/ACA snoRNP pseudouridylase complex
YMR290C	HAS1	ATP-dependent RNA helicase
YJL033W	HCA4	DEAD box RNA helicase
YHR148W	IMP3	Component of the SSU processome
YNL075W	IMP4	Component of the SSU processome
YHR085W	IPI1	Component of the Rix1 complex and possibly pre-replicative complexes
YNL182C	IPI3	Component of the Rix1 complex and pre-replicative complexes (pre-RCs)
YNL132W	KRE33	Protein required for biogenesis of the small ribosomal subunit
YNL308C	KRI1	Essential nucleolar protein required for 40S ribosome biogenesis
YCL059C	KRR1	Nucleolar protein required for rRNA synthesis and ribosomal assembly
YER127W	LCP5	Essential protein involved in maturation of 18S rRNA
YFR001W	LOC1	Nuclear protein involved in asymmetric localization of ASH1 mRNA
YKL021C	MAK11	Protein involved in an early step of 60S ribosomal subunit biogenesis
YDR060W	MAK21	Constituent of 66S pre-ribosomal particles
YBR142W	MAK5	Essential nucleolar protein
YJR002W	MPP10	Component of the SSU processome and 90S preribosome
YDL202W	MRPL11	Mitochondrial ribosomal protein of the large subunit
YKL009W	MRT4	Protein involved in mRNA turnover and ribosome assembly
YMR097C	MTG1	Putative GTPase peripheral to the mitochondrial inner membrane
YNL124W	NAF1	RNA-binding protein required for the assembly of box H/ACA snoRNPs
YPL126W	NAN1	U3 snoRNP protein
YDL208W	NHP2	Protein related to mammalian high mobility group (HMG) proteins
YPL211W	NIP7	Nucleolar protein required for 60S ribosome subunit biogenesis
YHR170W	NMD3	Protein involved in nuclear export of the large ribosomal subunit
YOR056C	NOB1	Protein involved in proteasomal and 40S ribosomal subunit biogenesis
YOR206W	NOC2	Protein involved in ribosome biogenesis
YLR002C	NOC3	Subunit of a nuclear complex with Noc2p and pre-replicative complexes
YPR144C	NOC4	Nucleolar protein
YPL093W	NOG1	Putative GTPase
YNR053C	NOG2	Putative GTPase
YDL014W	NOP1	Histone glutamine methyltransferase, modifies H2A at Q105 in nucleolus
YHR072W-A	NOP10	Subunit of box H/ACA snoRNP complex
YOL041C	NOP12	Nucleolar protein involved in pre-25S rRNA processing
YNL175C	NOP13	Nucleolar protein found in preribosomal complexes
YDL148C	NOP14	Nucleolar protein
YNL110C	NOP15	Constituent of 66S pre-ribosomal particles
YER002W	NOP16	Constituent of 66S pre-ribosomal particles
YGR251W	NOP19	Ribosome biogenesis factor
YNL061W	NOP2	rRNA m5C methyltransferase
YPL043W	NOP4	Nucleolar protein
YPL146C	NOP53	Nucleolar protein
YLR197W	NOP56	Essential evolutionarily-conserved nucleolar protein
YOR310C	NOP58	Protein involved in producing mature rRNAs and snoRNAs
YDL213C	NOP6	rRNA-binding protein required for 40S ribosomal subunit biogenesis
YGR103W	NOP7	Component of several different pre-ribosomal particles
YOL144W	NOP8	Nucleolar protein required for 60S ribosomal subunit biogenesis
YJL010C	NOP9	Essential subunit of U3-containing 90S preribosome
