orf	gene	DBD	Shown.DNA.binding	annotation.type	regulated.orf	regulated.gene	experimental.condition	regulation.direction	evidence.type
YHR084W	STE12	STE	1	high-throughput	YBR044C	TCM62	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YER064C	VHR2	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YGL147C	RPL9A	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YGR055W	MUP1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YGR214W	RPS0A	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YHR203C	RPS4B	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YJR123W	RPS5	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YKL029C	MAE1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YLR142W	PUT1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YLR387C	REH1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YOR234C	RPL33B	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YHR084W	STE12	STE	1	high-throughput	YOR302W	NA	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YAL021C	CCR4	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YAL064C-A	TDA8	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YAR035W	YAT1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
YLR451W	LEU3	Zinc cluster	1	high-throughput	YBL022C	PIM1	cellular response to heat	NA	chromatin immunoprecipitation-chip evidence
