accession	kmORF	orth_num	ORF	gene	species
W0T9T0	KLMA_40161	orth1	YDR127W	ARO1	Kmarx
W0T9X4	KLMA_30321	orth1	YGL180W	ATG1	Kmarx
W0TAW0	KLMA_40526	orth1	YKL182W	FAS1	Kmarx
W0T302	KLMA_10163	orth1	YOL096C	COQ3	Kmarx
W0T4A7	KLMA_10805	NA	NA	NA	Kmarx
W0T4V8	KLMA_20199	orth1	YPL149W	ATG5	Kmarx
W0T6V3	KLMA_30042	orth1	YJR069C	HAM1	Kmarx
W0TA05	KLMA_40433	orth1	YHR171W	ATG7	Kmarx
W0TA43	KLMA_40473	orth1	YPR185W	ATG13	Kmarx
W0TAT2	KLMA_20751	orth1	YNL169C	PSD1	Kmarx
W0TB43	KLMA_50173	orth1	YML061C	PIF1	Kmarx
W0TBL5	KLMA_30194	orth1	YGR170W	PSD2	Kmarx
W0TGM7	KLMA_50615	orth1	YNL223W	ATG4	Kmarx
W0TH64	KLMA_80409	NA	NA	NA	Kmarx
W0THY6	KLMA_80372	NA	NA	NA	Kmarx
W0TIW1	KLMA_70236	orth1	YDL149W	ATG9	Kmarx
W0T294	KLMA_10065	orth1	YCL030C	HIS4	Kmarx
W0T2F2	KLMA_10125	orth1	YGR255C	COQ6	Kmarx
W0T3B0	KLMA_10253	orth1	YBR218C	PYC2	Kmarx
W0T3B0	KLMA_10253	orth2	YGL062W	PYC1	Kmarx
W0T3G1	KLMA_10525	NA	NA	NA	Kmarx
W0T3H8	KLMA_10328	orth1	YHR164C	DNA2	Kmarx
W0T3J7	KLMA_10001	orth1	YAR009C	NA	Kmarx
W0T3J7	KLMA_10001	orth2	YBL005W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth3	YBL100W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth4	YBR012W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth5	YCL019W	NA	Kmarx
W0T3J7	KLMA_10001	orth6	YDR034C-D	NA	Kmarx
W0T3J7	KLMA_10001	orth7	YDR098C-B	NA	Kmarx
W0T3J7	KLMA_10001	orth8	YDR210C-D	NA	Kmarx
W0T3J7	KLMA_10001	orth9	YDR210W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth10	YDR261C-D	NA	Kmarx
W0T3J7	KLMA_10001	orth11	YDR261W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth12	YDR316W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth13	YDR365W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth14	YER138C	NA	Kmarx
W0T3J7	KLMA_10001	orth15	YER160C	NA	Kmarx
W0T3J7	KLMA_10001	orth16	YFL002W-A	NA	Kmarx
W0T3J7	KLMA_10001	orth17	YGR027W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth18	YGR038C-B	NA	Kmarx
W0T3J7	KLMA_10001	orth19	YGR161C-D	NA	Kmarx
W0T3J7	KLMA_10001	orth20	YGR161W-B	NA	Kmarx
W0T3J7	KLMA_10001	orth21	YHR214C-B	NA	Kmarx
W0T3J7	KLMA_10001	orth22	YJR027W	NA	Kmarx
