# S.cerevisiae proteins of the cytosolic ribosome, large and small subunits including ASC1
# 
orf	gene	subunit	desc
YPL220W	RPL1A	large	Ribosomal 60S subunit protein L1A; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1A has a paralog, RPL1B, that arose from the whole genome duplication; rpl1a rpl1b double null mutation is lethal
YGL135W	RPL1B	large	Ribosomal 60S subunit protein L1B; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1B has a paralog, RPL1A, that arose from the whole genome duplication; rpl1a rpl1b double null mutation is lethal
YFR031C-A	RPL2A	large	Ribosomal 60S subunit protein L2A; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2A has a paralog, RPL2B, that arose from the whole genome duplication
YIL018W	RPL2B	large	Ribosomal 60S subunit protein L2B; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2B has a paralog, RPL2A, that arose from the whole genome duplication; expression is upregulated at low temperatures
YOR063W	RPL3	large	Ribosomal 60S subunit protein L3; homologous to mammalian ribosomal protein L3 and bacterial L3; involved in the replication and maintenance of killer double stranded RNA virus
YBR031W	RPL4A	large	Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication
YDR012W	RPL4B	large	Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog, RPL4A, that arose from the whole genome duplication
YPL131W	RPL5	large	Ribosomal 60S subunit protein L5; homologous to mammalian ribosomal protein L5 and bacterial L18; binds 5S rRNA and is required for 60S subunit assembly
YML073C	RPL6A	large	Ribosomal 60S subunit protein L6A; N-terminally acetylated; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6A has a paralog, RPL6B, that arose from the whole genome duplication
YLR448W	RPL6B	large	Ribosomal 60S subunit protein L6B; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6B has a paralog, RPL6A, that arose from the whole genome duplication
YGL076C	RPL7A	large	Ribosomal 60S subunit protein L7A; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7A has a paralog, RPL7B, that arose from the whole genome duplication
YPL198W	RPL7B	large	Ribosomal 60S subunit protein L7B; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7B has a paralog, RPL7A, that arose from the whole genome duplication
YHL033C	RPL8A	large	Ribosomal 60S subunit protein L8A; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8A has a paralog, RPL8B, that arose from the whole genome duplication
YLL045C	RPL8B	large	Ribosomal 60S subunit protein L8B; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8B has a paralog, RPL8A, that arose from the whole genome duplication
YGL147C	RPL9A	large	Ribosomal 60S subunit protein L9A; nearly identical to paralog Rpl9Bp; homologous to mammalian ribosomal protein L9 and bacterial L6
YNL067W	RPL9B	large	Ribosomal 60S subunit protein L9B; nearly identical to paralog Rpl9Ap; homologous to mammalian ribosomal protein L9 and bacterial L6
YLR075W	RPL10	large	Ribosomal 60S subunit protein L10; responsible for joining the 40S and 60S subunits; regulates translation initiation; similar to members of the QM gene family; homologous to mammalian ribosomal protein L10 and bacterial L16; protein abundance increases in response to DNA replication stress; mutations in the human ortholog are associated with development of T-cell acute lymphoblastic leukemia and similar changes in the yeast gene result in ribosome biogenesis defects
YPR102C	RPL11A	large	Ribosomal 60S subunit protein L11A; expressed at twice the level of Rpl11Bp; involved in ribosomal assembly; depletion causes degradation of 60S proteins and RNA; homologous to mammalian ribosomal protein L11 and bacterial L5; RPL11A has a paralog, RPL11B, that arose from the whole genome duplication
YGR085C	RPL11B	large	Ribosomal 60S subunit protein L11B; expressed at half the level of Rpl11Ap; involved in ribosomal assembly; depletion causes degradation of 60S proteins and RNA; homologous to mammalian ribosomal protein L11 and bacterial L5; RPL11B has a paralog, RPL11A, that arose from the whole genome duplication
YEL054C	RPL12A	large	Ribosomal 60S subunit protein L12A; rpl12a rpl12b double mutant exhibits slow growth and slow translation; homologous to mammalian ribosomal protein L12 and bacterial L11; RPL12A has a paralog, RPL12B, that arose from the whole genome duplication
