accession	kmORF
W0T9T0	KLMA_40161
W0T9X4	KLMA_30321
W0TAW0	KLMA_40526
W0T302	KLMA_10163
W0T4A7	KLMA_10805
W0T4V8	KLMA_20199
W0T6V3	KLMA_30042
W0TA05	KLMA_40433
W0TA43	KLMA_40473
W0TAT2	KLMA_20751
W0TB43	KLMA_50173
W0TBL5	KLMA_30194
W0TGM7	KLMA_50615
W0TH64	KLMA_80409
W0THY6	KLMA_80372
W0TIW1	KLMA_70236
W0T294	KLMA_10065
W0T2F2	KLMA_10125
W0T3B0	KLMA_10253
W0T3G1	KLMA_10525
W0T3H8	KLMA_10328
W0T3J7	KLMA_10001
W0T3M8	KLMA_10031
W0T3N3	KLMA_10595
W0T3R8	KLMA_10625
W0T3U2	KLMA_10091
W0T3V9	KLMA_10468
W0T3X7	KLMA_10126
W0T3Y2	KLMA_10493
W0T423	KLMA_10705
W0T453	KLMA_10176
W0T465	KLMA_10760 KLMA_20185
W0T4A4	KLMA_10231
W0T4C1	KLMA_10251
W0T4J0	KLMA_10336
W0T4J4	KLMA_10341
W0T4Q4	KLMA_10748
W0T4Q6	KLMA_20139
W0T4W7	KLMA_20209
W0T503	KLMA_20244
W0T513	KLMA_20254
W0T520	KLMA_10269
W0T522	KLMA_10274
W0T570	KLMA_10581
W0T5F5	KLMA_20202
W0T5H5	KLMA_10454
W0T5K6	KLMA_10484
W0T5M1	KLMA_20262
W0T5N8	KLMA_10514
W0T5P4	KLMA_20474
W0T609	KLMA_20035
W0T661	KLMA_20649
W0T6B6	KLMA_20709
W0T6C7	KLMA_10709
W0T6D1	KLMA_20165
W0T6Q9	KLMA_10157
W0T6R7	KLMA_20657
W0T6T3	KLMA_20677
W0T6Z0	KLMA_10222
W0T776	KLMA_20208
W0T785	KLMA_20445
W0T7F0	KLMA_10402
W0T7G3	KLMA_30035
W0T7I7	KLMA_30292
W0T7K2	KLMA_30307
W0T7M0	KLMA_30105
W0T7M6	KLMA_20600
W0T7P9	KLMA_30357
W0T7R1	KLMA_20363
W0T7S8	KLMA_20650
W0T7V7	KLMA_20413
W0T7X4	KLMA_10577
W0T7Y2	KLMA_30225
W0T800	KLMA_20725
W0T883	KLMA_20568
W0T8B2	KLMA_30552
W0T8B6	KLMA_30557
W0T8B8	KLMA_20608
W0T8D7	KLMA_20628
W0T8G3	KLMA_10747
W0T8K0	KLMA_10787
W0T8K6	KLMA_20693
W0T8L8	KLMA_20703
W0T8R6	KLMA_30138
W0T8Z2	KLMA_30560
W0T8Z7	KLMA_30565
W0T8Z8	KLMA_30233
W0T913	KLMA_40103
W0T915	KLMA_30253
W0T937	KLMA_30004 KLMA_30006
W0T964	KLMA_30303
W0T972	KLMA_30041
W0T989	KLMA_20206
W0T9B0	KLMA_30081
W0T9C1	KLMA_20236
W0T9C9	KLMA_40208
W0T9E0	KLMA_40218
W0T9G8	KLMA_20281
W0T9I5	KLMA_20296
W0T9Q0	KLMA_30483
W0T9T9	KLMA_40363
W0T9V7	KLMA_40186
W0TA03	KLMA_20466
W0TA29	KLMA_40458
W0TA84	KLMA_40523
W0TAA3	KLMA_40543
W0TAA4	KLMA_30451
W0TAA6	KLMA_20581
W0TAC3	KLMA_40563
W0TAE4	KLMA_40588
W0TAI5	KLMA_30501
W0TAL8	KLMA_20691
W0TAR2	KLMA_50073
W0TAS9	KLMA_40491
W0TAT1	KLMA_30606
W0TAV6	KLMA_30631
W0TB75	KLMA_50031
W0TB95	KLMA_30054
W0TBK5	KLMA_50368
W0TBQ3	KLMA_40299 KLMA_50423
W0TBR2	KLMA_40237
W0TBT3	KLMA_40257
W0TBX9	KLMA_50503
W0TBZ0	KLMA_40524
W0TC06	KLMA_40539
W0TC17	KLMA_40549
W0TC23	KLMA_40302
W0TC85	KLMA_50366
W0TCA3	KLMA_30008 KLMA_50004
W0TCD0	KLMA_50633
W0TCG5	KLMA_40472
W0TCJ3	KLMA_50104
W0TCR6	KLMA_50154
W0TCU8	KLMA_40612
W0TCW7	KLMA_60181
W0TD11	KLMA_50047
W0TD39	KLMA_50304
W0TDB3	KLMA_60346
W0TDB6	KLMA_60351
W0TDF9	KLMA_50177
W0TDG5	KLMA_50182
W0TDG7	KLMA_60401
W0TDK3	KLMA_40175
W0TDM2	KLMA_10554 KLMA_40195
W0TDM8	KLMA_60461
W0TDS9	KLMA_50302
W0TDU0	KLMA_50317
W0TE11	KLMA_50412
W0TE54	KLMA_50452
W0TE67	KLMA_40365
W0TEB8	KLMA_40420
W0TED0	KLMA_60429
W0TED3	KLMA_70154
W0TEF9	KLMA_60454
W0TEP5	KLMA_40560
W0TER3	KLMA_60277
W0TEV6	KLMA_40625
W0TEW2	KLMA_40630
W0TF07	KLMA_70374
W0TFC0	KLMA_70222
W0TFE1	KLMA_80026
W0TFF4	KLMA_60265
