skORF	gene	ORF	kmORF
SKDZ_01G0030	YER186C	YER186C	NA
SKDZ_01G0050	GDH3	YAL062W	KLMA_50019
SKDZ_01G0060	BDH2	YAL061W	KLMA_50017
SKDZ_01G0070	BDH1	YAL060W	KLMA_50016
SKDZ_01G0080	ECM1	YAL059W	KLMA_50014
SKDZ_01G0100	CNE1	YAL058W	KLMA_50013
SKDZ_01G0110	GPB2	YAL056W	KLMA_50009
SKDZ_01G0120	PEX22	YAL055W	NA
SKDZ_01G0130	ACS1	YAL054C	KLMA_30602
SKDZ_01G0140	FLC2	YAL053W	KLMA_30600
SKDZ_01G0150	OAF1	YAL051W	NA
SKDZ_01G0160	AIM2	YAL049C	KLMA_30599
SKDZ_01G0170	GEM1	YAL048C	KLMA_30595
SKDZ_01G0190	SPC72	YAL047C	KLMA_30593
SKDZ_01G0200	AIM1	YAL046C	KLMA_30591
SKDZ_01G0210	YAL044W-A	YAL044W-A	KLMA_30590
SKDZ_01G0220	GCV3	YAL044C	KLMA_30589
SKDZ_01G0230	PTA1	YAL043C	KLMA_30586
SKDZ_01G0250	ERV46	YAL042W	KLMA_80245
SKDZ_01G0260	CDC24	YAL041W	KLMA_80244
SKDZ_01G0270	CLN3	YAL040C	NA
SKDZ_01G0280	CYC3	YAL039C	KLMA_80238
SKDZ_01G0290	CDC19	YAL038W	KLMA_60219
SKDZ_01G0320	YAL037W	YAL037W	NA
SKDZ_01G0330	RBG1	YAL036C	KLMA_60212
SKDZ_01G0340	FUN12	YAL035W	KLMA_60210
SKDZ_01G0350	MTW1	YAL034W-A	KLMA_50100
SKDZ_01G0360	FUN19	YAL034C	NA
SKDZ_01G0380	POP5	YAL033W	KLMA_50105
SKDZ_01G0390	PRP45	YAL032C	KLMA_50106
SKDZ_01G0400	GIP4	YAL031C	KLMA_50107
SKDZ_01G0410	SNC1	YAL030W	NA
SKDZ_01G0420	MYO4	YAL029C	NA
SKDZ_01G0430	FRT2	YAL028W	NA
SKDZ_01G0440	SAW1	YAL027W	KLMA_50115
SKDZ_01G0450	DRS2	YAL026C	KLMA_50118
SKDZ_01G0460	MAK16	YAL025C	KLMA_50119
SKDZ_01G0470	LTE1	YAL024C	KLMA_50120
SKDZ_01G0480	PMT2	YAL023C	KLMA_30233
SKDZ_01G0490	FUN26	YAL022C	KLMA_30234
SKDZ_01G0500	CCR4	YAL021C	KLMA_30235
SKDZ_01G0510	ATS1	YAL020C	KLMA_30236
SKDZ_01G0530	FUN30	YAL019W	KLMA_20372
SKDZ_01G0550	PSK1	YAL017W	KLMA_20367
SKDZ_01G0570	TPD3	YAL016W	KLMA_20364
SKDZ_01G0580	NTG1	YAL015C	NA
SKDZ_01G0590	SYN8	YAL014C	KLMA_20360
SKDZ_01G0600	DEP1	YAL013W	KLMA_20357
SKDZ_01G0610	CYS3	YAL012W	KLMA_20354
SKDZ_01G0620	SWC3	YAL011W	KLMA_20349
SKDZ_01G0630	MDM10	YAL010C	KLMA_20348
SKDZ_01G0640	SPO7	YAL009W	KLMA_20347
SKDZ_01G0650	FUN14	YAL008W	NA
SKDZ_01G0660	ERP2	YAL007C	KLMA_50417
SKDZ_01G0670	SSA1	YAL005C	KLMA_20459
SKDZ_01G0680	EFB1	YAL003W	KLMA_40028
SKDZ_01G0690	VPS8	YAL002W	KLMA_40027
SKDZ_01G0700	TFC3	YAL001C	KLMA_10445
SKDZ_01G0710	NUP60	YAR002W	KLMA_10446
SKDZ_01G0720	ERP1	YAR002C-A	NA
SKDZ_01G0730	SWD1	YAR003W	KLMA_10449
SKDZ_01G0740	RFA1	YAR007C	KLMA_10451
SKDZ_01G0750	SEN34	YAR008W	KLMA_10456
SKDZ_01G0770	CDC15	YAR019C	KLMA_10187
SKDZ_01G0780	KIN3	YAR018C	KLMA_10188
SKDZ_01G0790	ADE1	YAR015W	KLMA_10189
SKDZ_01G0800	BUD14	YAR014C	KLMA_10190
SKDZ_01G0840	YAT1	YAR035W	KLMA_10186
SKDZ_01G0850	SWH1	YAR042W	KLMA_10185
SKDZ_01G0860	YIL169C	YIL169C	NA
SKDZ_02G0040	SRO77	YBL106C	NA
SKDZ_02G0050	PKC1	YBL105C	KLMA_70130
SKDZ_02G0060	SEA4	YBL104C	KLMA_70131
SKDZ_02G0070	RTG3	YBL103C	KLMA_70133
SKDZ_02G0080	SFT2	YBL102W	KLMA_70134
SKDZ_02G0090	ECM21	YBL101C	KLMA_70136
SKDZ_02G0110	ATP1	YBL099W	KLMA_70140
SKDZ_02G0120	BNA4	YBL098W	NA
SKDZ_02G0130	BRN1	YBL097W	KLMA_70144
SKDZ_02G0140	YBL095W	YBL095W	KLMA_70146
SKDZ_02G0150	ROX3	YBL093C	KLMA_70148
SKDZ_02G0160	RPL32	YBL092W	KLMA_70149
SKDZ_02G0170	SCS22	YBL091C-A	NA
SKDZ_02G0180	MAP2	YBL091C	KLMA_70150
SKDZ_02G0190	MRP21	YBL090W	KLMA_70151
SKDZ_02G0200	AVT5	YBL089W	KLMA_70152
SKDZ_02G0210	TEL1	YBL088C	KLMA_70154
SKDZ_02G0220	RPL23A	YBL087C	KLMA_70155
SKDZ_02G0230	YBL086C	YBL086C	KLMA_80387
SKDZ_02G0240	BOI1	YBL085W	NA
SKDZ_02G0250	CDC27	YBL084C	KLMA_80384
SKDZ_02G0260	ALG3	YBL082C	KLMA_80379
SKDZ_02G0270	YBL081W	YBL081W	NA
SKDZ_02G0280	PET112	YBL080C	KLMA_80375
SKDZ_02G0290	NUP170	YBL079W	KLMA_80373
SKDZ_02G0300	ATG8	YBL078C	NA
SKDZ_02G0320	ILS1	YBL076C	KLMA_80369
SKDZ_02G0330	SSA3	YBL075C	NA
SKDZ_02G0340	AAR2	YBL074C	KLMA_80366
SKDZ_02G0360	RPS8A	YBL072C	KLMA_80365
SKDZ_02G0370	KTI11	YBL071W-A	KLMA_80364
SKDZ_02G0390	AST1	YBL069W	KLMA_80363
SKDZ_02G0400	PRS4	YBL068W	NA
SKDZ_02G0410	UBP13	YBL067C	KLMA_80360
SKDZ_02G0420	SEF1	YBL066C	KLMA_80359
SKDZ_02G0440	PRX1	YBL064C	KLMA_80358
SKDZ_02G0450	KIP1	YBL063W	NA
SKDZ_02G0460	SKT5	YBL061C	KLMA_80357
SKDZ_02G0470	YEL1	YBL060W	KLMA_80355
SKDZ_02G0480	CMC2	YBL059C-A	KLMA_80353
SKDZ_02G0490	SHP1	YBL058W	KLMA_80346
SKDZ_02G0500	PTH2	YBL057C	KLMA_80345
SKDZ_02G0510	PTC3	YBL056W	NA
SKDZ_02G0520	YBL055C	YBL055C	KLMA_80342
SKDZ_02G0530	TOD6	YBL054W	KLMA_80341
SKDZ_02G0540	SAS3	YBL052C	KLMA_80340
SKDZ_02G0550	PIN4	YBL051C	KLMA_80338
SKDZ_02G0560	SEC17	YBL050W	KLMA_70106
SKDZ_02G0570	MOH1	YBL049W	NA
SKDZ_02G0580	EDE1	YBL047C	KLMA_70099
SKDZ_02G0590	PSY4	YBL046W	KLMA_70096
SKDZ_02G0600	COR1	YBL045C	KLMA_70095
SKDZ_02G0610	ECM13	YBL043W	KLMA_70094
SKDZ_02G0620	FUI1	YBL042C	KLMA_70083
SKDZ_02G0630	PRE7	YBL041W	KLMA_70092
SKDZ_02G0640	ERD2	YBL040C	KLMA_70091
SKDZ_02G0650	YBL039W-B	YBL039W-B	KLMA_70089
SKDZ_02G0660	URA7	YBL039C	KLMA_70086
SKDZ_02G0680	MRPL16	YBL038W	KLMA_70340
SKDZ_02G0690	APL3	YBL037W	KLMA_70342
SKDZ_02G0700	YBL036C	YBL036C	KLMA_70343
SKDZ_02G0710	POL12	YBL035C	KLMA_70346
SKDZ_02G0720	STU1	YBL034C	KLMA_70347
SKDZ_02G0730	RIB1	YBL033C	KLMA_70349
SKDZ_02G0750	SHE1	YBL031W	KLMA_70352
SKDZ_02G0760	PET9	YBL030C	KLMA_70354
SKDZ_02G0770	YBL029C-A	YBL029C-A	KLMA_70355
SKDZ_02G0780	YBL029W	YBL029W	KLMA_70356
SKDZ_02G0790	YBL028C	YBL028C	KLMA_70357
SKDZ_02G0800	RPL19B	YBL027W	KLMA_70358
SKDZ_02G0810	LSM2	YBL026W	KLMA_20293
SKDZ_02G0820	RRN10	YBL025W	KLMA_30140
SKDZ_02G0830	NCL1	YBL024W	KLMA_30139
SKDZ_02G0840	MCM2	YBL023C	KLMA_30138
SKDZ_02G0850	PIM1	YBL022C	KLMA_20035
SKDZ_02G0860	HAP3	YBL021C	KLMA_20036
SKDZ_02G0870	RFT1	YBL020W	KLMA_20037
SKDZ_02G0880	APN2	YBL019W	KLMA_20038
SKDZ_02G0890	POP8	YBL018C	KLMA_20039
SKDZ_02G0900	PEP1	YBL017C	KLMA_20040
SKDZ_02G0910	FUS3	YBL016W	KLMA_20041
SKDZ_02G0920	ACH1	YBL015W	KLMA_20042
SKDZ_02G0930	RRN6	YBL014C	KLMA_20047
SKDZ_02G0940	FMT1	YBL013W	KLMA_20043
SKDZ_02G0960	SCT1	YBL011W	KLMA_30327
SKDZ_02G0970	YBL010C	YBL010C	KLMA_30379
SKDZ_02G0980	ALK2	YBL009W	KLMA_30380
SKDZ_02G0990	HIR1	YBL008W	KLMA_50152
SKDZ_02G1000	SLA1	YBL007C	KLMA_50155
SKDZ_02G1010	LDB7	YBL006C	KLMA_50158
SKDZ_02G1030	PDR3	YBL005W	KLMA_10460
SKDZ_02G1040	UTP20	YBL004W	KLMA_60122
SKDZ_02G1050	HTA2	YBL003C	KLMA_20168
SKDZ_02G1050	HTA2	YBL003C	KLMA_60119
SKDZ_02G1060	HTB2	YBL002W	KLMA_60118
SKDZ_02G1070	ECM15	YBL001C	NA
SKDZ_02G1080	NTH2	YBR001C	KLMA_60117
SKDZ_02G1090	RER2	YBR002C	KLMA_60115
SKDZ_02G1100	COQ1	YBR003W	KLMA_60114
SKDZ_02G1110	GPI18	YBR004C	KLMA_60113
SKDZ_02G1120	RCR1	YBR005W	NA
SKDZ_02G1130	UGA2	YBR006W	KLMA_60125
SKDZ_02G1140	DSF2	YBR007C	NA
SKDZ_02G1160	HHF1	YBR009C	KLMA_80118
SKDZ_02G1170	HHT1	YBR010W	NA
SKDZ_02G1180	IPP1	YBR011C	KLMA_60131
SKDZ_02G1190	GRX7	YBR014C	NA
SKDZ_02G1200	MNN2	YBR015C	KLMA_60134
SKDZ_02G1210	YBR016W	YBR016W	NA
SKDZ_02G1220	KAP104	YBR017C	KLMA_10191
SKDZ_02G1230	GAL7	YBR018C	KLMA_20331
SKDZ_02G1240	GAL10	YBR019C	KLMA_20332
SKDZ_02G1250	GAL1	YBR020W	KLMA_20333
SKDZ_02G1260	FUR4	YBR021W	KLMA_10654
SKDZ_02G1270	POA1	YBR022W	NA
SKDZ_02G1280	CHS3	YBR023C	NA
SKDZ_02G1290	SCO2	YBR024W	NA
SKDZ_02G1300	OLA1	YBR025C	KLMA_10659
SKDZ_02G1310	ETR1	YBR026C	KLMA_60271
SKDZ_02G1320	YPK3	YBR028C	KLMA_60274
SKDZ_02G1330	CDS1	YBR029C	KLMA_60275
SKDZ_02G1340	RKM3	YBR030W	KLMA_50246
SKDZ_02G1350	RPL4A	YBR031W	KLMA_50245
SKDZ_02G1360	EDS1	YBR033W	NA
SKDZ_02G1370	HMT1	YBR034C	KLMA_50244
SKDZ_02G1380	PDX3	YBR035C	KLMA_50241
SKDZ_02G1390	CSG2	YBR036C	NA
SKDZ_02G1400	SCO1	YBR037C	KLMA_10660
SKDZ_02G1410	CHS2	YBR038W	KLMA_10658
SKDZ_02G1420	ATP3	YBR039W	KLMA_50237
SKDZ_02G1430	FIG1	YBR040W	KLMA_50236
SKDZ_02G1440	FAT1	YBR041W	KLMA_50235
SKDZ_02G1450	CST26	YBR042C	KLMA_50234
SKDZ_02G1460	QDR3	YBR043C	KLMA_50233
SKDZ_02G1470	TCM62	YBR044C	KLMA_50230
SKDZ_02G1480	GIP1	YBR045C	KLMA_10523
SKDZ_02G1490	ZTA1	YBR046C	KLMA_10522
SKDZ_02G1500	FMP23	YBR047W	KLMA_10521
SKDZ_02G1510	RPS11B	YBR048W	NA
SKDZ_02G1520	REB1	YBR049C	NA
SKDZ_02G1530	REG2	YBR050C	NA
SKDZ_02G1550	RFS1	YBR052C	NA
SKDZ_02G1560	YBR053C	YBR053C	KLMA_60551
