ORF	merged.exon.length
KLMA_10001	3975
KLMA_10002	363
KLMA_10003	402
KLMA_10004	681
KLMA_10005	1665
KLMA_10006	687
KLMA_10007	1470
KLMA_10008	1845
KLMA_10009	1533
KLMA_10010	1860
KLMA_10011	1542
KLMA_10012	3828
KLMA_10013	558
KLMA_10014	780
KLMA_10015	678
KLMA_10016	2712
KLMA_10017	162
KLMA_10018	1077
KLMA_10019	276
KLMA_10020	1485
KLMA_10021	2841
KLMA_10022	960
KLMA_10023	345
KLMA_10024	249
KLMA_10025	2139
KLMA_10026	594
KLMA_10027	1011
KLMA_10028	1101
KLMA_10029	972
KLMA_10030	1518
KLMA_10031	2508
KLMA_10032	1275
KLMA_10033	1407
KLMA_10034	384
KLMA_10035	984
KLMA_10036	1095
KLMA_10037	1056
KLMA_10038	1437
KLMA_10039	228
KLMA_10040	204
KLMA_10041	339
KLMA_10043	1491
KLMA_10044	1263
KLMA_10045	1941
KLMA_10046	423
KLMA_10047	2163
KLMA_10048	1161
KLMA_10049	1563
KLMA_10050	1173
KLMA_10051	1446
KLMA_10052	2151
KLMA_10053	1491
KLMA_10054	1479
KLMA_10055	1086
KLMA_10056	1167
KLMA_10057	1203
KLMA_10058	324
KLMA_10059	999
KLMA_10060	432
KLMA_10061	141
KLMA_10062	900
KLMA_10063	978
KLMA_10064	387
KLMA_10065	2409
KLMA_10066	1233
KLMA_10067	1092
KLMA_10068	1578
KLMA_10069	591
KLMA_10070	591
KLMA_10071	1857
KLMA_10072	282
KLMA_10073	3342
KLMA_10074	1056
KLMA_10075	1965
KLMA_10076	2505
KLMA_10077	606
KLMA_10078	834
KLMA_10079	1155
KLMA_10080	1080
KLMA_10081	2382
KLMA_10082	1605
KLMA_10083	288
KLMA_10084	2010
KLMA_10085	759
KLMA_10086	1932
KLMA_10088	3375
KLMA_10089	2073
KLMA_10090	1479
KLMA_10091	3696
KLMA_10092	1239
KLMA_10093	660
KLMA_10094	1044
KLMA_10095	1689
KLMA_10096	387
KLMA_10097	1050
KLMA_10098	4182
KLMA_10099	1701
KLMA_10100	1566
KLMA_10101	3471
KLMA_10102	1398
KLMA_10103	2079
KLMA_10104	5580
KLMA_10106	1743
KLMA_10107	1734
KLMA_10108	2898
KLMA_10109	1185
KLMA_10110	876
KLMA_10111	3087
KLMA_10112	1047
KLMA_10113	3591
KLMA_10114	1014
KLMA_10115	816
KLMA_10116	891
KLMA_10117	6558
KLMA_10118	1425
KLMA_10119	948
KLMA_10120	498
KLMA_10121	219
KLMA_10122	2043
KLMA_10123	3558
KLMA_10124	1185
KLMA_10125	1422
KLMA_10126	2394
KLMA_10127	474
KLMA_10128	1107
KLMA_10129	1320
KLMA_10130	792
KLMA_10131	1824
KLMA_10132	3891
KLMA_10133	1551
KLMA_10134	1239
KLMA_10135	483
KLMA_10136	1956
KLMA_10137	2247
KLMA_10138	828
KLMA_10139	552
KLMA_10140	327
KLMA_10141	2118
KLMA_10142	642
KLMA_10143	765
KLMA_10144	4119
KLMA_10145	1977
KLMA_10146	2544
KLMA_10147	396
KLMA_10148	1002
KLMA_10149	2352
KLMA_10150	1110
KLMA_10151	1728
KLMA_10152	4098
KLMA_10153	2394
KLMA_10155	2757
KLMA_10156	3732
KLMA_10157	1008
KLMA_10158	1293
KLMA_10159	1062
KLMA_10160	4476
KLMA_10161	1500
KLMA_10162	678
KLMA_10163	984
KLMA_10164	2148
KLMA_10165	2121
KLMA_10166	1782
KLMA_10167	966
KLMA_10168	879
KLMA_10169	921
KLMA_10170	1884
KLMA_10171	2397
KLMA_10172	2418
KLMA_10173	1176
KLMA_10174	1134
KLMA_10175	1446
KLMA_10176	1482
KLMA_10177	1863
KLMA_10178	2226
KLMA_10179	1167
KLMA_10180	1263
KLMA_10181	2013
KLMA_10182	864
KLMA_10183	1857
KLMA_10184	1230
KLMA_10185	3531
KLMA_10186	2097
KLMA_10187	2508
KLMA_10188	1212
KLMA_10189	918
KLMA_10190	2160
KLMA_10191	2667
KLMA_10192	1599
KLMA_10194	630
KLMA_10195	1440
KLMA_10196	1035
KLMA_10197	2784
KLMA_10199	984
KLMA_10201	1839
KLMA_10202	1116
KLMA_10203	354
KLMA_10204	3771
KLMA_10206	603
KLMA_10207	837
KLMA_10208	1698
KLMA_10209	1779
KLMA_10210	2304
KLMA_10211	3696
KLMA_10212	408
KLMA_10213	837
KLMA_10214	843
KLMA_10215	813
KLMA_10216	1671
KLMA_10217	2190
KLMA_10218	1056
KLMA_10220	1179
KLMA_10221	1203
KLMA_10222	1629
KLMA_10223	678
KLMA_10224	1071
KLMA_10225	645
KLMA_10226	801
KLMA_10227	333
KLMA_10228	600
KLMA_10229	1293
KLMA_10231	1815
KLMA_10232	3852
KLMA_10233	504
KLMA_10234	1296
KLMA_10235	612
KLMA_10236	4893
KLMA_10237	726
KLMA_10238	678
KLMA_10239	678
KLMA_10240	408
KLMA_10241	864
KLMA_10242	1902
KLMA_10243	831
KLMA_10244	1434
KLMA_10245	1536
KLMA_10246	555
KLMA_10247	498
KLMA_10248	1410
KLMA_10249	1608
KLMA_10250	2115
KLMA_10251	588
KLMA_10252	612
KLMA_10253	3528
KLMA_10255	381
KLMA_10256	1446
KLMA_10257	1581
KLMA_10258	492
KLMA_10259	399
KLMA_10260	1959
KLMA_10261	1083
KLMA_10262	1098
KLMA_10263	1545
KLMA_10265	903
KLMA_10266	588
KLMA_10267	774
KLMA_10268	465
KLMA_10269	2304
KLMA_10270	2115
KLMA_10271	366
KLMA_10272	4470
KLMA_10273	1128
KLMA_10274	1776
KLMA_10275	1584
KLMA_10276	255
KLMA_10277	777
KLMA_10278	2979
KLMA_10279	1557
KLMA_10280	837
KLMA_10281	552
KLMA_10282	825
KLMA_10283	1755
KLMA_10284	534
KLMA_10285	1242
KLMA_10286	1287
KLMA_10289	1518
KLMA_10290	2859
KLMA_10292	465
KLMA_10293	1881
KLMA_10294	648
KLMA_10295	1425
KLMA_10296	1029
KLMA_10297	1017
KLMA_10298	1545
KLMA_10299	1590
KLMA_10300	453
KLMA_10301	297
KLMA_10302	1038
KLMA_10303	372
KLMA_10304	438
KLMA_10305	693
KLMA_10306	2061
KLMA_10307	843
KLMA_10308	1344
KLMA_10309	660
KLMA_10310	780
KLMA_10311	1539
KLMA_10312	948
KLMA_10313	1350
KLMA_10314	4485
KLMA_10315	3204
KLMA_10316	786
KLMA_10317	1575
KLMA_10318	1134
KLMA_10319	2145
KLMA_10320	1512
KLMA_10321	1110
KLMA_10322	546
KLMA_10323	1647
KLMA_10324	792
KLMA_10325	1899
KLMA_10326	7251
KLMA_10327	1104
KLMA_10328	4437
KLMA_10329	2592
KLMA_10330	1458
KLMA_10331	900
KLMA_10332	645
KLMA_10333	1680
KLMA_10334	2316
KLMA_10336	1275
KLMA_10338	417
KLMA_10339	1734
KLMA_10341	2937
KLMA_10342	1221
KLMA_10343	12177
KLMA_10344	657
KLMA_10345	1737
KLMA_10346	507
KLMA_10347	1362
KLMA_10348	1191
KLMA_10349	813
KLMA_10350	1269
KLMA_10351	603
KLMA_10352	2166
KLMA_10353	465
KLMA_10355	375
KLMA_10356	1155
KLMA_10357	843
KLMA_10358	1107
KLMA_10359	1113
KLMA_10360	1035
KLMA_10361	576
KLMA_10362	1368
KLMA_10363	1965
KLMA_10364	1599
KLMA_10365	561
KLMA_10366	924
KLMA_10367	558
KLMA_10368	399
KLMA_10369	354
KLMA_10370	1317
KLMA_10371	1230
KLMA_10372	2454
KLMA_10373	990
KLMA_10374	342
KLMA_10375	840
KLMA_10376	555
KLMA_10378	2031
KLMA_10379	2949
KLMA_10380	825
KLMA_10381	351
KLMA_10382	1320
KLMA_10383	2139
KLMA_10384	2187
KLMA_10385	1581
