ORF	gene	length.prot	classification	label
Q0010	Q0010	128	Dubious	other
Q0017	Q0017	53	Dubious	other
Q0032	Q0032	96	Dubious	other
Q0045	COX1	534	Verified	other
Q0050	AI1	834	Verified	other
Q0055	AI2	854	Verified	other
Q0060	AI3	415	Verified	other
Q0065	AI4	556	Verified	other
Q0070	AI5_ALPHA	630	Verified	other
Q0075	AI5_BETA	354	Uncharacterized	other
Q0080	ATP8	48	Verified	other
Q0085	ATP6	259	Verified	other
Q0092	Q0092	46	Dubious	other
Q0105	COB	385	Verified	other
Q0110	BI2	423	Verified	other
Q0115	BI3	517	Verified	other
Q0120	BI4	638	Verified	other
Q0130	OLI1	76	Verified	other
Q0140	VAR1	398	Verified	other
Q0142	Q0142	58	Dubious	other
Q0143	Q0143	50	Dubious	other
Q0144	Q0144	109	Dubious	other
Q0160	SCEI	235	Verified	other
Q0182	Q0182	134	Dubious	other
Q0250	COX2	251	Verified	other
Q0255	Q0255	472	Uncharacterized	other
Q0275	COX3	269	Verified	other
Q0297	Q0297	51	Dubious	other
YAL001C	TFC3	1160	Verified	other
YAL002W	VPS8	1274	Verified	other
YAL003W	EFB1	206	Verified	translation
YAL004W	YAL004W	215	Dubious	other
YAL005C	SSA1	642	Verified	HSF1
YAL007C	ERP2	215	Verified	other
YAL008W	FUN14	198	Verified	MSN2/4
YAL009W	SPO7	259	Verified	other
YAL010C	MDM10	493	Verified	other
YAL011W	SWC3	625	Verified	other
YAL012W	CYS3	394	Verified	other
YAL013W	DEP1	405	Verified	other
YAL014C	SYN8	255	Verified	other
YAL015C	NTG1	399	Verified	other
YAL016C-A	YAL016C-A	104	Dubious	other
YAL016C-B	YAL016C-B	61	Dubious	other
YAL016W	TPD3	635	Verified	other
YAL017W	PSK1	1356	Verified	MSN2/4
YAL018C	LDS1	325	Verified	other
YAL019W	FUN30	1131	Verified	other
YAL019W-A	YAL019W-A	189	Dubious	other
YAL020C	ATS1	333	Verified	other
YAL021C	CCR4	837	Verified	other
YAL022C	FUN26	517	Verified	other
YAL023C	PMT2	759	Verified	other
YAL024C	LTE1	1435	Verified	other
YAL025C	MAK16	306	Verified	other
YAL026C	DRS2	1355	Verified	other
YAL026C-A	YAL026C-A	145	Dubious	other
YAL027W	SAW1	261	Verified	other
YAL028W	FRT2	528	Verified	MSN2/4
YAL029C	MYO4	1471	Verified	other
YAL030W	SNC1	117	Verified	other
YAL031C	GIP4	760	Verified	other
YAL031W-A	YAL031W-A	102	Dubious	other
YAL032C	PRP45	379	Verified	other
YAL033W	POP5	173	Verified	other
YAL034C	FUN19	413	Verified	MSN2/4
YAL034C-B	YAL034C-B	117	Dubious	other
YAL034W-A	MTW1	289	Verified	other
YAL035W	FUN12	1002	Verified	translation
YAL036C	RBG1	369	Verified	other
YAL037C-A	YAL037C-A	30	Uncharacterized	other
YAL037C-B	YAL037C-B	324	Dubious	other
YAL037W	YAL037W	267	Uncharacterized	other
YAL038W	CDC19	500	Verified	glycolysis
YAL039C	CYC3	269	Verified	other
YAL040C	CLN3	580	Verified	other
YAL041W	CDC24	854	Verified	other
YAL042C-A	YAL042C-A	125	Dubious	other
YAL042W	ERV46	415	Verified	other
YAL043C	PTA1	785	Verified	other
YAL044C	GCV3	170	Verified	other
YAL044W-A	BOL1	110	Verified	other
YAL045C	YAL045C	102	Dubious	other
YAL046C	BOL3	118	Verified	other
YAL047C	SPC72	622	Verified	other
YAL047W-A	YAL047W-A	109	Dubious	other
YAL048C	GEM1	662	Verified	other
YAL049C	AIM2	246	Verified	other
YAL051W	OAF1	1047	Verified	other
YAL053W	FLC2	783	Verified	other
YAL054C	ACS1	713	Verified	other
YAL055W	PEX22	180	Verified	other
YAL056C-A	YAL056C-A	116	Dubious	other
YAL056W	GPB2	880	Verified	other
YAL058W	CNE1	502	Verified	other
YAL059C-A	YAL059C-A	140	Dubious	other
YAL059W	ECM1	212	Verified	translation
YAL060W	BDH1	382	Verified	MSN2/4
YAL061W	BDH2	417	Uncharacterized	MSN2/4
YAL062W	GDH3	457	Verified	MSN2/4
YAL063C	FLO9	1322	Verified	other
YAL063C-A	YAL063C-A	96	Uncharacterized	other
YAL064C-A	TDA8	126	Uncharacterized	other
YAL064W	YAL064W	94	Verified	other
YAL064W-B	YAL064W-B	126	Uncharacterized	other
